,Team,Group,Position,Name,DOB,Caps,Goals,Country and Club
647,Colombia,H,DF,Johan Mojica,1991-08-21,3,1,Spain Girona
648,Colombia,H,DF,Óscar Murillo,1988-04-18,12,0,Mexico Pachuca
649,Colombia,H,DF,Santiago Arias,1992-01-13,40,0,Netherlands PSV Eindhoven
650,Colombia,H,DF,Yerry Mina,1994-09-23,11,3,Spain Barcelona
651,Colombia,H,FW,Carlos Bacca,1986-09-08,44,14,Spain Villarreal
652,Colombia,H,FW,Luis Muriel,1991-04-16,18,2,Spain Sevilla
653,Colombia,H,FW,Miguel Borja,1993-01-26,6,2,Brazil Palmeiras
654,Colombia,H,FW,Radamel Falcao (captain),1986-02-10,72,29,France Monaco
655,Colombia,H,GK,Camilo Vargas,1989-03-09,5,0,Colombia Deportivo Cali
656,Colombia,H,GK,David Ospina,1988-08-31,85,0,England Arsenal
657,Colombia,H,GK,José Fernando Cuadrado,1985-06-01,1,0,Colombia Once Caldas
658,Colombia,H,MF,Abel Aguilar,1985-01-06,70,7,Colombia Deportivo Cali
659,Colombia,H,MF,Carlos Sánchez,1986-02-06,84,0,Spain Espanyol
660,Colombia,H,MF,James Rodríguez,1991-07-12,62,21,Germany Bayern Munich
661,Colombia,H,MF,Jefferson Lerma,1994-10-25,4,0,Spain Levante
662,Colombia,H,MF,José Izquierdo,1992-07-07,4,1,England Brighton & Hove Albion
663,Colombia,H,MF,Juan Cuadrado,1988-05-26,69,7,Italy Juventus
664,Colombia,H,MF,Juan Fernando Quintero,1993-01-18,14,2,Argentina River Plate
665,Colombia,H,MF,Mateus Uribe,1991-03-21,7,0,Mexico América
666,Colombia,H,MF,Wílmar Barrios,1993-10-16,10,0,Argentina Boca Juniors
667,Japan,H,DF,Gen Shoji,1992-12-11,10,1,Japan Kashima Antlers
668,Japan,H,DF,Gōtoku Sakai,1991-03-14,38,0,Germany Hamburger SV
669,Japan,H,DF,Hiroki Sakai,1990-04-12,41,0,France Marseille
670,Japan,H,DF,Maya Yoshida,1988-08-24,80,10,England Southampton
671,Japan,H,DF,Naomichi Ueda,1994-10-24,3,0,Japan Kashima Antlers
672,Japan,H,DF,Tomoaki Makino,1987-05-11,30,4,Japan Urawa Red Diamonds
673,Japan,H,DF,Wataru Endo,1993-02-09,11,0,Japan Urawa Red Diamonds
674,Japan,H,DF,Yuto Nagatomo,1986-09-12,103,3,Turkey Galatasaray
675,Japan,H,FW,Shinji Okazaki,1986-04-16,111,50,England Leicester City
676,Japan,H,FW,Yoshinori Mutō,1992-07-15,21,2,Germany Mainz 05
677,Japan,H,FW,Yuya Osako,1990-05-18,26,7,Germany 1. FC Köln
678,Japan,H,GK,Eiji Kawashima,1983-03-20,82,0,France Metz
679,Japan,H,GK,Kosuke Nakamura,1995-02-27,3,0,Japan Kashiwa Reysol
680,Japan,H,GK,Masaaki Higashiguchi,1986-05-12,4,0,Japan Gamba Osaka
681,Japan,H,MF,Gaku Shibasaki,1992-05-28,15,3,Spain Getafe
682,Japan,H,MF,Genki Haraguchi,1991-05-09,30,6,Germany Fortuna Düsseldorf
683,Japan,H,MF,Hotaru Yamaguchi,1990-10-06,40,2,Japan Cerezo Osaka
684,Japan,H,MF,Keisuke Honda,1986-06-13,93,36,Mexico Pachuca
685,Japan,H,MF,Makoto Hasebe (captain),1984-01-18,108,2,Germany Eintracht Frankfurt
686,Japan,H,MF,Ryota Oshima,1993-01-23,3,0,Japan Kawasaki Frontale
687,Japan,H,MF,Shinji Kagawa,1989-03-17,89,29,Germany Borussia Dortmund
688,Japan,H,MF,Takashi Inui,1988-06-02,25,2,Spain Eibar
689,Japan,H,MF,Takashi Usami,1992-05-06,21,3,Germany Fortuna Düsseldorf
690,Poland,H,DF,Artur Jędrzejczyk,1987-11-04,35,3,Poland Legia Warsaw
691,Poland,H,DF,Bartosz Bereszyński,1992-07-12,6,0,Italy Sampdoria
692,Poland,H,DF,Jan Bednarek,1996-04-12,1,0,England Southampton
693,Poland,H,DF,Kamil Glik,1988-02-03,57,4,France Monaco
694,Poland,H,DF,Łukasz Piszczek,1985-06-03,61,3,Germany Borussia Dortmund
695,Poland,H,DF,Michał Pazdan,1987-09-21,31,0,Poland Legia Warsaw
696,Poland,H,DF,Thiago Cionek,1986-04-21,17,0,Italy SPAL
697,Poland,H,FW,Arkadiusz Milik,1994-02-28,38,12,Italy Napoli
698,Poland,H,FW,Dawid Kownacki,1997-03-14,1,0,Italy Sampdoria
699,Poland,H,FW,Łukasz Teodorczyk,1991-06-03,15,4,Belgium Anderlecht
700,Poland,H,FW,Robert Lewandowski (captain),1988-08-21,93,52,Germany Bayern Munich
701,Poland,H,GK,Bartosz Białkowski,1994-10-01,1,0,England Ipswich Town
702,Poland,H,GK,Łukasz Fabiański,1993-07-29,43,0,Wales Swansea City
703,Poland,H,GK,Wojciech Szczęsny,1984-01-01,33,0,Italy Juventus
704,Poland,H,MF,Grzegorz Krychowiak,1990-01-29,49,2,England West Bromwich Albion
705,Poland,H,MF,Jacek Góralski,1992-09-21,3,0,Bulgaria Ludogorets Razgrad
706,Poland,H,MF,Jakub Błaszczykowski,1985-12-14,97,19,Germany VfL Wolfsburg
707,Poland,H,MF,Kamil Grosicki,1988-06-08,56,12,England Hull City
708,Poland,H,MF,Karol Linetty,1995-02-02,19,1,Italy Sampdoria
709,Poland,H,MF,Maciej Rybus,1989-08-19,49,2,Russia Lokomotiv Moscow
710,Poland,H,MF,Piotr Zieliński,1994-05-20,31,4,Italy Napoli
711,Poland,H,MF,Rafał Kurzawa,1993-01-29,3,0,Poland Górnik Zabrze
712,Poland,H,MF,Sławomir Peszko,1985-02-19,43,2,Poland Lechia Gdańsk
713,Senegal,H,DF,Kalidou Koulibaly,1991-06-20,23,0,Italy Napoli
714,Senegal,H,DF,Kara Mbodji,1989-11-11,51,5,Belgium Anderlecht
715,Senegal,H,DF,Lamine Gassama,1989-10-20,34,0,Turkey Alanyaspor
716,Senegal,H,DF,Moussa Wagué,1998-10-04,8,0,Belgium Eupen
717,Senegal,H,DF,Salif Sané,1990-08-25,19,0,Germany Hannover 96
718,Senegal,H,DF,Saliou Ciss,1989-09-15,17,0,France Valenciennes
719,Senegal,H,DF,Youssouf Sabaly,1993-03-05,3,0,France Bordeaux
720,Senegal,H,FW,Diafra Sakho,1989-12-24,9,3,France Rennes
721,Senegal,H,FW,Ismaïla Sarr,1998-02-25,13,2,France Rennes
722,Senegal,H,FW,Keita Baldé,1995-03-08,16,3,France Monaco
723,Senegal,H,FW,Mame Biram Diouf,1987-12-16,46,10,England Stoke City
724,Senegal,H,FW,M'Baye Niang,1994-12-19,4,0,Italy Torino
725,Senegal,H,FW,Moussa Konaté,1993-04-03,26,9,France Amiens
726,Senegal,H,FW,Moussa Sow,1986-01-19,50,18,Turkey Bursaspor
727,Senegal,H,FW,Sadio Mané,1992-04-10,51,14,England Liverpool
728,Senegal,H,GK,Abdoulaye Diallo,1992-03-30,16,0,France Rennes
729,Senegal,H,GK,Alfred Gomis,1984-05-31,1,0,Italy SPAL
730,Senegal,H,GK,Khadim N'Diaye,1985-04-05,25,0,Guinea Horoya
731,Senegal,H,MF,Alfred N'Diaye,1990-03-06,18,0,England Wolverhampton Wanderers
732,Senegal,H,MF,Badou Ndiaye,1990-10-27,17,1,England Stoke City
733,Senegal,H,MF,Cheikh N'Doye,1986-03-29,23,3,England Birmingham City
734,Senegal,H,MF,Cheikhou Kouyaté (captain),1989-12-21,46,2,England West Ham United
735,Senegal,H,MF,Idrissa Gueye,1989-09-26,58,1,England Everton
